點,距離 (km)
Start - 墾丁青年活動中心,0
CP1 - 墾丁牧場VILLA-2,11.6
CP2 - 潭仔巷舊屋,17.8
CP3 - 南安宮,24.6
CP4 - 門馬羅草原登山口,33.7
CP5 - 玉泉寺,47.3
CP6 - 58 號下民宿,58.3
CP7 - 門馬羅溪皮屋,70
CP8 - 雙馬羅露營莊園,77.2
CP1 - 墾丁牧場VILLA-2,87.8
Finish - 墾丁青年活動中心,98.3
